sentence_id	sentence	sentence_domain	source
61bb5634b0cb6c1ae0d657f6e2a429bbfcb6b0b61967027776e2730926ec6c11	በአብርሃ ጊዜ የነበረው መስተጋብር እና ሃይማኖታዊ ተለዋዋጭነት በእስልምና መስፋፋት ላይ ምን ያህል ተጽዕኖ አሳድሯል? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
89a91c8c9a4235d4b519719f8571f53dec25438c194547c7a1abfde0b9cb56d7	"አብርሃ ""መሲሕ"" የሚለውን ቃል ኢየሱስን ለማመልከት የመረጠው ለምንድን ነው?"	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
a03f43facdf6c21eb2a10de68a2ea859399009a9e325c59b5eb255372d954452	የአብርሃ ጽሑፎችና ከአክሱም  ከባይዛንታይምና ከፋርስ ጋር በነበረው ግንኙነት ላይ ተጽዕኖ ያሳደረው እንዴት ነው?		THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
a149f024413d205a37ad0adb52417c945e8418c9e72dc63afa38f3b0e8cefa13	የሕዝብ ተወካዮች ምክር ቤት የወይዘሮ ሜላትወርቅ ኃይሉን የኢትዮጵያ ብሔራዊ ምርጫ ቦርድ ሰብሳቢነት ሹመትን አጸደቀ		https://www.bbc.com/amharic/articles/c6p1zglv1rko
a592bdae95d643dc970232d9150c1dfaa2376f793bc96cee0b5a0768ff34f0de	ብርሃን በመቅጽበት ከአንድ ቦታ ወደ ሌላ ቦታ አይጓዝም።		Wikipedia
af93b835f7a8912ffb362a7af7b9afd03b321329e05f3f18498a56f1ff3877ba	በአይሁድ እና በክርስቲያን ማኅበረሰቦች መካከል ግጭቶች ወይም ሙከራዎች ነበሩ? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
b98cb59898c237dfe805e0f2437dfde9caadd9f49742732b774f62fcbe526b0a	ለምሳሌ የፀሐይ መሞቅ ከምትተፋው የታህታይ ቀይ ጨረራ ይመነጫል።		Wikipedia
bcdbdd1c829ba9cc134a2aee7dac320224ae253801b1a1f7e48e3ef3e83ac395	አብርሀ ክርስትናን ተቀብሎ እንዲያስፋፋ ያደረገው ምክንያት ምንድን ነው? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
c4b62b60fc285dd92677bd9f2855fea1aaa72fd6704eed0b5522338b1892bed8	የአብርሃም ጽሑፎች በቋንቋና በባህል ተጽዕኖዎች ረገድ እየተሻሻሉ ሲሆን እነዚህ ለውጦች  ምን አንድምታ አላቸው?	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
cd7eeff031b1dc7a714f3fc05042aa36ab6ebb6c904d7b23ce79289f05e5b007	የአብርሃ የክርስትና ቀመር በጥንት እስልምና ሥነ-መለኮታዊ እድገት ላይ ዘላቂ ተጽዕኖ አሳድሯል? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
cee7977ec8402aa7a8be39317d3d07a33663d7fa4ccfc2251e9bac7064d8b60d	አብርሃ ወደ ክርስትና መመለሱን የሚጠቁሙ ምን ማስረጃዎች አሉ? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
edd1f8be2d349901ba190b02d9575b484afa2ffa44f3136d5eca72e40f041dfb	አብርሃም በእነዚህ ሁለት ሃይማኖታዊ ማኅበረሰቦች መካከል ያለውን ልዩነት ለማስታረቅ ወይም ለማስታረቅ ጥረት አድርጓል? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu
